input_data,expected_output
Tecelac,Horse antihuman thymocyte gamma globulin
Cimicifuga Plex,thyroid (USP)
"glyceryl 1,2-dioleate, (S)-","glyceryl 1,2-dioleate"
SANTANE,linden leaf extract
methyl dehydroabietate,dehydroabietate
Merfen,phenylmercury
potassium oxybate,oxybate
Allens Chesty Cough,Tussilago farfara extract
Klosterfrau Melissengeist,bitter orange oil
Trulance,plecanatide
Vari-Bosan B,Aesculus glabra nut extract
estetrol monohydrate,estetrol
Cordragees,RNA
Sativex,dronabinol
Navstel,"sodium phosphate, dibasic"
Regenaplex,Semecarpus anacardium juice
Laxabyl No,cascara sagrada
Imagopaque,iopentol
Exubera,"insulin human, rDNA origin"
Riva Diclofenac,diclofenac
desoxycorticosterone pivalate,desoxycorticosterone
COLIMYCINE,colistin
Bronchitussin,Plantago ovata seed extract
Soldara,imiquimod
Stokoderm,isopropyl palmitate
Iversal A,propylparaben
Airleet,heparinoids
Bronco Asmol,anethole
alpha-tocopheryloxyacetic acid,alpha-tocopheryloxyacetate
Notakehl,Penicillium chrysogenum var. chrysogenum allergenic extract
BERUTIN,troxerutin
Apomorphinum Similiaplex,Gentiana lutea root extract
Hexvix,aminolevulinate
Tym-Plex,calcium acetate
Cirumimeru,mexiletine
Hepax,Combretum micranthum leaf extract
SCD CEFUROXIME,cefuroxime
Haihetianxin,levosimendan
Tribulus Iu,Tribulus terrestris extract
Dienaplexe,Mahonia aquifolium whole extract
Vansil,oxamniquine
BENZIDON,tolazoline
Modafinil Aurobindo,modafinil
BISEPTINE,benzalkonium
ertapenem sodium,ertapenem
Isomeride,dexfenfluramine
Vyzulta,latanoprostene bunod
dibutyltin dilaurate,dibutyltin
IDAPRIL,imidapril
Krystexxa,pegloticase
Subcutin,phenolsulfonate
Qelbree,viloxazine
Mulimen,Urtica dioica preparation
Lokelma,sodium zirconium cyclosilicate
Humegon,luteinizing hormone
GCFORM,D-glucuronic acid
Jialixin,teicoplanin
Ancer,Mycobacterium tuberculosis
Atel,chlorthalidone
Pharmalgen,wasp venoms
Ma Fra,pine needle oil (pinus mugo)
ANERRUM,iron sucrose
Voxpax,boswellia preparation
rozanolixizumab-noli,rozanolixizumab
Maprotilin Ct,maprotiline
Palynziq,pegvaliase
SPECSSA,gefitinib
Telavic,telaprevir
temafloxacin hydrochloride,temafloxacin
Sentry AQ Mardel Clout,malachite green
ceteareth-2 phosphate,ceteareth-2
Dengvaxia,"dengue virus live antigen, CYD serotype 2"
Askina,trolamine salicylate
Infi Myosotis,Myosotis arvensis extract
Ursinol,Populus tremuloides bark extract
Menomune A/C/Y/W-135,meningococcal group A polysaccharide
Mylotarg,gemtuzumab ozogamicin
Herz Kreislauf Kne,Vinca minor extract
Profilnine,factor IX complex
Rinvoq,upadacitinib
NOBIPROX,ciclopirox
Novuxol,collagenase
Ilevro,nepafenac
Uro Vaxom,pentosan polysulfate
Praluent,alirocumab
Orbicin,dibekacin
ALFOS,bismuth oxide
potassium cetyl phosphate,cetyl phosphate
Medivitan,folate
Lormetazepam Acis,lormetazepam
Infanrix Hexa,poliovirus
Duralentan,Bos taurus ovary preparation
Omnitrope Pen,somatropin
methanesulfonic acid,mesylate
Neo-Lax,prune preparation
rthera,droxidopa
Nestmann Nasensalb,Luffa aegyptiaca fruit extract
Dextraven-110,dextran 110
Weleda Heilsalbe,Mercurialis perennis extract
Nalcrom,cromolyn
BAPHIL,bamifylline
RotaTeq,human-bovine reassortant rotavirus strain G2 vaccine
erbium sulfate octahydrate,erbium
Loewe Komplex Solidago,Apocynum cannabinum root extract
TUSTA,cloperastine
Carboneum Sulfuratum-Injeel,carbon disulfide
ethoheptazine citrate,ethoheptazine
Weilitan,horse chestnut seed
Uxil,dasatinib
Orti-Vite,chromic chloride
Gamanil,lofepramine
Palfium,dextromoramide
Sentry AQ Mardel Clout,trichlorfon
sodium benzotriazolyl butylphenol sulfonate,benzotriazolyl butylphenol sulfonate
Booster-Strovac,Klebsiella pneumoniae
Aimisi,ethylenediamine
ACEBRO,ambroxol-theophylline-7-acetate
satralizumab-mwge,satralizumab
Losartan-Kalium Tad,losartan
Beromun,tasonermin
Somnicin,5-hydroxytryptophan
Elelyso,taliglucerase alfa
HEXYON,"acellular pertussis vaccine, inactivated"
Jiminfuxin,fleroxacin
Chem-Sol,ferrous sulfate
Mithramycin,plicamycin
Altuviiio,"antihemophilic factor (recombinant), Fc-VWF-XTEN fusion protein"
Nephramine,sodium bisulfite
Terbutalin Ratiopharm,terbutaline
PILOSURYL,Phyllanthus niruri top extract
Parkin,profenamine
piperazine sulfate,piperazine
Hydrasyn25,alpha hydroxy acids
Cistus anus Nfo,Cistus ladanifer resin
Sulfamed,sulfadimethoxine
Buckley's mixtura,Canada balsam extract
Bleo,bleomycin
Tradiance,linagliptin
human adenovirus B serotype 7 strain 55142,adenovirus type 7 vaccine live
